rank,file,total_score,similarity_score,skill_score,matched_skills
1,resumes/resume_24.pdf,44.51,17.01,27.5,"python, flask, rest api, sql, postgresql, git, aws, docker, ci/cd, agile, unit testing"
2,resumes/resume_01.pdf,40.76,15.76,25.0,"python, django, rest api, sql, postgresql, git, aws, docker, agile, unit testing"
3,resumes/resume_30.pdf,40.09,15.09,25.0,"python, django, sql, postgresql, git, aws, docker, ci/cd, agile, unit testing"
4,resumes/resume_12.pdf,38.68,13.68,25.0,"python, django, sql, postgresql, git, aws, docker, ci/cd, agile, unit testing"
5,resumes/resume_16.pdf,38.67,11.17,27.5,"python, django, rest api, sql, postgresql, git, aws, docker, ci/cd, agile, unit testing"
6,resumes/resume_14.pdf,36.73,14.23,22.5,"python, flask, rest api, sql, postgresql, git, aws, docker, unit testing"
7,resumes/resume_26.pdf,36.38,11.38,25.0,"python, django, sql, postgresql, git, aws, docker, ci/cd, agile, unit testing"
8,resumes/resume_19.pdf,36.34,11.34,25.0,"python, django, flask, sql, postgresql, git, aws, docker, ci/cd, agile"
9,resumes/resume_22.pdf,35.12,12.62,22.5,"python, django, rest api, sql, postgresql, git, aws, docker, unit testing"
10,resumes/resume_08.pdf,35.03,12.53,22.5,"python, django, sql, postgresql, git, aws, docker, agile, unit testing"
